他感冒了。	tā gǎn mào le。	He caught a cold.
我们离别时我如何忍得住眼泪呢？	wǒ men lí bié shí wǒ rú hé rěn de zhù yǎn lèi ne？	How shall I withhold from tears when we part?
别听他的种种藉口，他在撒谎。	biè tìng tā de zhǒng zhǒng jiè kǒu， tā zài sā huǎng。	Don't listen to his pretences; he is lying.
空想的想象的；不真实的；爱空想的	kōng xiǎng de xiǎng xiàng de； bù zhēn shí de； ài kōng xiǎng de	Imaginary; unreal; fanciful.
精通一门外语难不难?	jīng tōng yī mén wài yǔ nàn bù nàn?	Is it difficult to feel at home in (ie confident when using) a foreign language?
她争执一番後, 无可奈何地缴纳了罚金.	tā zhēng zhí yī pān後,  wú kě nài hé de jiǎo nà le fá jīn.	She paid the fine under protest.
囚犯对被控罪名再三否认。	qiú fàn duì bèi kòng zuì míng zài sān fǒu rèn。	The prisoner repeated denials of the charges against him.
他陷於绝望, 终於自杀了.	tā xiàn yū jué wàng,  zhōng yū zì shā le.	He surrendered (himself) to despair and eventually committed suicide.
是否可在此购买观光巴士券？	shì fǒu kě zài cǐ gòu mǎi guān guāng bā shì quàn？	Can I get a ticket for the sight- seeing bus here?
光亮的灿烂地闪耀的；非常明亮的	guāng liàng de càn làn de shǎn yào de； fēi cháng míng liàng de	Shining brilliantly; very bright.
和尚在香炉里焚上一柱香。	hé shang zài xiāng lú lǐ fén shàng yī zhù xiāng。	The monk burned a stick of incense in the incense burner.
天资天生的能力，如学习；天资	tiān zī tiān shēng de néng lì， rú xué xí； tiān zī	An inherent ability, as for learning; a talent.
自由的不受监禁或奴役的；自由的	zì yóu de bù shòu jiān jìn huò nú yì de； zì yóu de	Not imprisoned or enslaved; being at liberty.
他和妻子吵架後就把她抛弃了。	tā huò qī zi chǎo jià後 jiù bǎ tā pāo qì le。	He had a row with his wife and just walked out on her.
平峒通往矿井的几乎水平的入口	píng tóng tōng wàng kuàng jǐng de jī hū shuǐ píng de rù kǒu	An almost horizontal entrance to a mine.
他妻子去世後他的生活很空虚.	tā qī zi qù shì後 tā de shēng huó hěn kōng xū.	There has been a vacuum in his life since his wife died.
他跌下来也并未气馁，继续攀登。	tā diē xia lai yě bìng wèi qì něi， jì xù pān dēng。	He continued the climb, undaunted by his fall.
那囚犯从墙上的缺口处逃走了.	nà qiú fàn zòng qiáng shàng de quē kǒu chù táo zǒu le.	The prisoner escaped through a hole in the wall.
Rex很快就成了一个开门能手了。	Rex hěn kuài jiù chéng le yī gè kāi mén néng shǒu le。	Rex soon became an expert at opening the gate.
总是受到讥笑使人非常气馁。	zǒng shì shòu dào jī xiào shǐ rén fēi cháng qì něi。	It's very discouraging to be sneered at all time.
政府会拨款资助美术事业吗？	zhèng fǔ kuài bō kuǎn zī zhù měi shù shì yè ma？	Will the government provide money to support the arts?
这里晚间没有什麽活动的迹象.	zhè lǐ wǎn jiān méi yǒu shí mó huó dòng de jī xiàng.	There are few signs of life here in the evenings.
那囚犯从墙上的缺口处逃走了.	nà qiú fàn zòng qiáng shàng de quē kǒu chù táo zǒu le.	The prisoner escaped through a hole in the wall.
她喜欢仆人前呼後拥地侍候她.	tā xǐ huan pú rén qián hū後 yōng de shì hòu tā.	She loves to have servants dance attendance (up) on her.
她喜欢仆人前呼後拥地侍候她.	tā xǐ huan pú rén qián hū後 yōng de shì hòu tā.	She loves to have servants dance attendance (up) on her.
他奋力开出一条生路；他奋战一生。	tā fèn lì kāi chū yī tiáo shēng lù； tā fèn zhàn yī shēng。	He fought his way through life.
这一章的标题是｀我早年的生活＇.	zhè yī zhāng de biāo tí shì｀ wǒ zǎo nián de shēng huó＇.	The chapter was headed My Early Life'.
那时一场大瘟疫正在该城肆虐。	nà shí yī chǎng dà wēn yì zhèng zài gāi chéng sì nu:è。	A great plague was then raging in the city.
笨蛋被看作软弱、傻或愚蠢的人	bèn dàn bèi kàn zuò ruǎn ruò、 shǎ huò yú chǔn de rén	A person regarded as weak, foolish, or stupid.
护士给我受伤的胳臂裹上绷带。	hù shi jǐ wǒ shòu shāng de gē bei guǒ shàng bēng dài。	The nurse wound a bandage round my wounded arm.
缝纫时，她在手上戴一枚顶针。	fèng rèn shí， tā zài shǒu shàng dài yī méi dǐng zhēn。	She put a thimble over the finger when sewing.
我怎样才能使你相信我的诚意呢？	wǒ zěn yàng cái néng shǐ nǐ xiāng xìn wǒ de chéng yì ne？	How can I persuade you of my sincerity!
旅客须知要服用预防疟疾药.	lu:3 kè xū zhī yào fú yòng yù fáng nu:è jí yào.	Travellers are reminded that malaria tablets are advisable.
他找到住房之前, 在我家寄膳.	tā zhǎo dào zhù fáng zhī qián,  zài wǒ jiā jì shàn.	He boarded at my house/with me until he found a flat.
他反驳说：“这完全是你的错误。”	tā fǎn bó shuō：“ zhè wán quán shì nǐ de cuò wù。”	He retorted, "it's entirely your fault."
我的座右铭是: ｀有一天过一天.＇	wǒ de zuò yòu míng shì: ｀ yǒu yī tiān guò yī tiān.＇	My motto is: `Live each day as it comes.'
当　外面悬挂著三个球的标记.	dàng　 wài mian xuán guà著 sān gè qiú de biāo jì.	Signs with three balls hang outside pawnbrokers' shops.
你可以得到一笔拨款来修缮住房。	nǐ kě yǐ dé dào yī bǐ bō kuǎn lái xiū shàn zhù fáng。	You can get a grant to improve your house.
纯粹地符合类型、标准或模式地	chún cuì de fú hé lèi xíng、 biāo zhǔn huò mó shì de	So as to conform to a type, standard, or pattern.
【谚】祸来如飞行，祸去似步行。	【 yàn】 huò lái rú fēi xíng， huò qù sì bù xíng。	Misfortunes come on wings and depart on foot.
租金贵是贵, （但）房子倒很好.	zū jīn guì shì guì, （ dàn） fáng zi dào hěn hǎo.	The rent is high, (but) otherwise the house is fine.
他忸忸怩怩走到她跟前请她跳舞.	tā niǔ niǔ ní ní zǒu dào tā gēn qián qǐng tā tiào wǔ.	He sidled up/over to her and asked her to dance.
冰、雪和蒸汽是水的不同形态。	bīng、 xuě huò zhēng qì shì shuǐ de bù tóng xíng tài。	Ice, snow and steam are different forms of water.
紧张过度的或兴奋过度的；紧张的	jǐn zhāng guò dù de huò xīng fèn guò dù de； jǐn zhāng de	Excessively nervous or excited; agitated.
财产于1998年将归还原所有人。	cái chǎn yú1998 nián jiàng guī huán yuán suǒ yǒu rén。	The property revert to its original owner in1998.
那个罪犯找到後就要挨鞭子抽打.	nèi gè zuì fàn zhǎo dào後 jiù yào ái biān zǐ chōu dǎ.	The culprit will be whipped when he is found.
他对忏悔的罪人一概慈悲为怀。	tā duì chàn huǐ de zuì rén yī gài cí bēi wèi huái。	He is kind and gracious to all sinners who repent.
我们旅行多年後, 决定在此定居.	wǒ men lu:3 xíng duō nián後,  jué dìng zài cǐ dìng jū.	After years of travel, we decided to settle here.
她泰然自若地履行王妃的职责.	tā tài rán zì ruò de lu:3 xíng wáng fēi de zhí zé.	She performs the duties of a princess with great aplomb.
那名间谍把秘密计画泄漏给敌人。	nà míng jiàn dié bǎ mì mì jì huà xiè lòu jǐ dí rén。	The spy divulged the secret plans to the enemy.
她泰然自若地履行王妃的职责.	tā tài rán zì ruò de lu:3 xíng wáng fēi de zhí zé.	She performs the duties of a princess with great aplomb.
我上当了! 这些番茄一半是坏的!	wǒ shàng dàng le!  zhè xie fān qié yī bàn shì huài de!	I've been diddled! Half of these tomatoes are bad!
恶毒女人被看作邪恶和诡诈的妇女	è dú nu:3 rén bèi kàn zuò xié è huò guǐ zhà de fù nu:3	A woman who is regarded as evil and scheming.
裁军谈判的最新情况怎麽样?	cái jūn tán pàn de zuì xīn qíng kuàng zěn mó yàng?	What is the latest state of play in the disarmament talks?
广袤的平原被厚厚的雪覆盖着。	guǎng mào de píng yuán bèi hòu hòu de xuě fù gài zhuó。	The vast champaign was covered with thick snow.
劫案发生後警方立即跟踪追击.	jié àn fā shēng後 jǐng fāng lì jí gēn zōng zhuī jī.	After the robbery the police immediately gave chase.
太阳看起来在天空以弧线运行。	tài yáng kàn qǐ lai zài tiān kōng yǐ hú xiàn yùn xíng。	The sun appears to move in an arc across the sky.
那个国家将要展示埃及木乃伊。	nèi gè guó jiā jiāng yào zhǎn shì Aī jí mù nǎi yī。	There will be an Egyptian mummy show in that country.
你以後要为你的愚蠢行动付出 代价的.	nǐ yǐ後 yào wèi nǐ de yú chǔn xíng dòng fù chū  dài jià de.	You'll pay later for your follies.
他现在没有固定的（性）伴侣.	tā xiàn zài méi yǒu gù dìng de（ xìng） bàn lu:3.	He doesn't have a regular (sexual) partner at the moment.
阿根廷是牛肉制品的一大出口国。	ē gēn tíng shì niú ròu zhì pǐn de yī dà chū kǒu guó。	Argentina is a big exporter of beef products.
让我们举杯向新娘和新郎祝贺!	ràng wǒ men jǔ bēi xiàng xīn niáng huò xīn láng zhù hè!	Let's drink (a toast) to the bride and bridegroom!
岛上逐渐迁入很多欧洲移民.	dǎo shàng zhú jiàn qiān rù hěn duō ōu zhōu yí mín.	The islands were gradually populated by settlers from Europe.
和谐一种饱满、奔放的和音的流露	hé xié yī zhòng bǎo mǎn、 bēn fàng de huò yīn de liú lù	A full, rich outpouring of harmonious sound.
葛粉从这些植物中提取的食用淀粉	gě fěn zòng zhè xie zhí wù zhòng tí qǔ de shí yòng diàn fěn	An edible starch made from these plants.
一瞥；一眼很快的一看或一瞥；粗略看	yī piē； yī yǎn hěn kuài de yī kàn huò yī piē； cū lu:è kàn	A quick look or glimpse; a glance.
附带说一下，约翰下星期要回家。	fù dài shuō yī xià， Yuē hàn xià xīng qī yào huí jiā。	Incidentally, John's coming home next week.
我的靴子挤压了我脚趾上的水泡。	wǒ de xuē zi jǐ yà le wǒ jiǎo zhǐ shàng de shuǐ pào。	My boot is pressing against a blister on my toe.
和谐一种饱满、奔放的和音的流露	hé xié yī zhòng bǎo mǎn、 bēn fàng de huò yīn de liú lù	A full, rich outpouring of harmonious sound.
那军官於星期日晚上报到销假.	nà jūn guān yū xīng qī rì wǎn shang bào dào xiāo jià.	The officer reported back from leave on Sunday night.
人质被（用绳）捆住并塞住了口.	rén zhì bèi（ yòng shéng） kǔn zhù bìng sè zhù le kǒu.	The hostages were bound (with ropes) and gagged.
使兴奋的使人精力充沛的；使兴奋的	shǐ xīng fèn de shǐ rén jīng lì chōng pèi de； shǐ xīng fèn de	Serving to invigorate; stimulating.
唾液是由口腔的唾液腺分泌出来的.	tuò yè shì yóu kǒu qiāng de tuò yè xiàn fēn mì chū lai de.	Saliva is secreted by glands in the mouth.
hour一字的开头字母h不发送气音.	hour yī zì de kāi tóu zì mǔh bù fā sòng qì yīn.	The word `hour' is pronounced without an initial aspirate.
演出拖延很久, 最後总算开始了.	yǎn chū tuō yán hěn jiǔ,  zuì後 zǒng suàn kāi shǐ le.	After a long delay the performance finally started.
这本书破旧了，封面上有墨渍。	zhè běn shū pò jiù le， fēng miàn shàng yǒu mò zì。	The book is worn out and has ink stain on its cover.
一个上尉指挥一个连队或炮兵连。	yī gè shàng wèi zhǐ huī yī gè lián duì huò pào bīng lián。	A captain commands a company or battery.
他伸手捂住她的嘴, 不让她叫喊.	tā shēn shǒu wǔ zhù tā de zuǐ,  bù ràng tā jiào hǎn.	He put his hand over her mouth to stop her screaming.
好。是要豪华型、中型还是小型车？	hào。 shì yào háo huá xíng、 zhōng xíng hái shì xiǎo xíng chē？	Ok. Luxury, mid-size or compact?
她不折不扣地履行了她的所有诺言。	tā bù zhé bù kòu de lu:3 xíng le tā de suǒ yǒu nuò yán。	She carry out all her pledge to the letter.
意向感觉、做或说的意向；倾向	yì xiàng gǎn jué、 zuò huò shuō de yì xiàng； qīng xiàng	A disposition to feel, do, or say; a propensity.
他把衣服拧乾後晾到绳子上.	tā bǎ yī fu nìng qián後 liàng dào shéng zi shàng.	He wrung the clothes (out) before putting them on the line to dry.
他跌了一跤, 头部撞在栏杆上了.	tā diē le yī jiāo,  tóu bù zhuàng zài lán gān shàng le.	He tripped and bashed his head against the railing.
她泰然自若地履行王妃的职责。	tā tài rán zì ruò de lu:3 xíng wáng fēi de zhí zé。	She perform the duties of a princess with great aplomb.
这种混合物凝结之後就成了太妃糖.	zhè zhǒng hùn hé wù níng jié zhī後 jiù chéng le tài fēi táng.	The mixture solidifies into toffee.
这老人想把痰咯出来但他不能。	zhè lǎo rén xiǎng bǎ tán luò chū lai dàn tā bù néng。	The old man tried to spit up sputum, but he could not.
我的名字叫亚历山大，简称“亚尔”。	wǒ de míng zi jiào yà lì shān dà， jiǎn chēng“ yà ěr”。	My name is Alexander,"Al" for short.
版权在作者死後50年即行终止.	bǎn quán zài zuó zhě sǐ後50 nián jí xìng zhōng zhǐ.	Copyright expires 50 years after the death of the author.
好。是要豪华型、中型还是小型车？	hào。 shì yào háo huá xíng、 zhōng xíng hái shì xiǎo xíng chē？	Ok. Luxury, mid-size or compact?
你能告诉我这些鞋子的零售价吗？	nǐ néng gào su wǒ zhè xie xié zi de líng shòu jie ma？	Could you tell me the retail prices of these shoes?
在经济萧条期间，银行很可能倒闭	zài jīng jì xiāo tiáo qī jiān， yín háng hěn kě néng dǎo bì	In a depression banks are liable to fail.
那麽, 你改变立场了, 你这可耻的叛徒!	nà mó,  nǐ gǎi biàn lì chǎng le,  nǐ zhè kě chǐ de pàn tú!	So you've changed sides, you dirty rat!
【谚】没有了名誉也就没有了生命。	【 yàn】 méi yǒu le míng yù yě jiù méi yǒu le shēng mìng。	Take honour from me and my life is done.
眼泪由上眼睑下面的器官分泌。	yǎn lèi yóu shàng yǎn jiǎn xià mian de qì guān fēn mì。	Tears are secreted by an organ under the upper eyelid.
她失踪一事引起了各种流言蜚语.	tā shī zōng yī shì yǐn qǐ le gè zhǒng liú yán fěi yù.	Her disappearance gave rise to the wildest rumours.
她完全是一只孔雀，除“美”而外。	tā wán quán shì yī zhǐ kǒng què， chú“ měi” ér wài。	She is a peacock in everything but beauty.
许多人皈依他们父母所属的教派。	xǔ duō rén guī yī tā men fù mǔ suǒ shǔ de jiào pài。	Many people adhere to the church of their parents.
他们为赛马设立了2000畿尼的奖金。	tā men wèi sài mǎ shè lì lé000 jī ní de jiǎng jīn。	They had set a prize of 2000 gns for the horserace.
瞬间一个短暂的、不确定的时间间隔	shùn jiān yī gè duǎn zàn de、 bù què dìng de shí jiān jiàn gé	A brief, indefinite interval of time.
她纤弱的身躯因阵阵咳嗽而发颤。	tā xiān ruò de shēn qū yīn zhèn zhèn ké sou ér fà zhàn。	Her slight frame was shaken by bouts of coughing.
直接从碗里咕嘟咕嘟地喝汤是粗俗的	zhí jiē zòng wǎn lǐ gū dū gū dū de hè tāng shì cū sú de	Slurping soup directly from the bowl is vulgar.
衣橱用来储藏衣服的一种柜子；衣柜	yì chú yòng lái chǔ cáng yī fu de yī zhòng guì zi； yī guì	A chamber for storing clothes; a wardrobe.
采牡蛎者捉、养殖或专卖牡蛎的人	cài mǔ lì zhě zhuō、 yǎng zhí huò zhuān mài mǔ lì de rén	One who gathers, cultivates, or sells oysters.
士兵死亡後, 女眷表示沉痛哀悼.	shì bīng sǐ wáng後,  nu:3 juàn biǎo shì chén tòng āi dào.	The dead soldiers were mourned by their womenfolk.
急欲获得的妄想权力或荣誉的；嫉妒的	jí yù huò dé de wàng xiǎng quán lì huò róng yù de； jí dù de	Covetous of power or honor; envious.
这银花瓶上刻有花卉浮雕图案。	zhè yín huā píng shàng kè yǒu huā huì fú diāo tú àn。	The silver vase is embossed with a design of flower.
他们把船开进海港下锚停泊.	tā men bǎ chuán kāi jìn hǎi gǎng xià máo tíng bó.	They brought the boat into the harbour and dropped (the) anchor.
过去伦敦的交通常因烟雾而受阻.	guò qu lún dūn de jiāo tōng cháng yīn yān wù ér shòu zǔ.	Smog used to bring London traffic to a standstill.
名称，称号（用于区分的）名字或头衔	míng chēng， chēng hào（ yòng yú qū fēn de） míng zi huò tou xián	A distinguishing name or title.
即便是天涯海角我也要跟随他。	jí biàn shì tiān yá hǎi jiǎo wǒ yě yào gēn suí tā。	I will follow him to the uttermost parts of the earth.
送小孩上学的重担又推给了我！	sòng xiǎo hái shàng xué de zhòng dàn yòu tuī jǐ le wǒ！	I got saddled with taking the children to school again!
立法者制定或颁布法律的人；立法者	lì fǎ zhě zhì dìng huò bān bù fǎ lu:4 de rén； lì fǎ zhě	One who makes or enacts laws; a legislator.
总统死後全国陷入了内战.	zǒng tǒng sǐ後 quán guó xiàn rù le nèi zhàn.	The country (was) plunged into civil war after the death of the President.
喂，玛丽，何时有喜事？快了吧。	wèi， Mǎ lì， hé shí yǒu xǐ shì？ kuài le ba。	Hello, Mary, when's the happy event? It can't be long now.
我们把讨论的要点归纳一下好吗?	wǒ men bǎ tǎo lùn de yào diǎn guī nà yī xià hào ma?	Could we have a run-through of the main points discussed?
中央C音相当於每秒钟振动256次.	zhōng yāngC yīn xiāng dāng yū měi miǎo zhōng zhèn dò2ng6 cì.	Middle C is equivalent to 256 vibrations per second.
冻鸡应彻底解冻後再烹调.	dòng jī yìng chè dǐ jiě dòng後 zài pēng tiáo.	A frozen chicken should be allowed to defrost completely before cooking.
那两个齿轮一啮合, 机器就启动了.	nà liǎng gè chǐ lūn yī niè hé,  jī qì jiù qǐ dòng le.	The two cog-wheels engaged and the machine started.
新政府将他的地产徵作军用.	xīn zhèng fǔ jiàng tā de dì chǎn zhǐ zuò jūn yòng.	The new government expropriated his estate for military purposes.
吵闹的声音这样大，我怎能读书呢？	chǎo nào de shēng yīn zhè yàng dà， wǒ zěn néng dú shū ne？	How can I read with all this row going on?
声誉——主要是死得其时的问题。	shēng yú—— zhǔ yào shì sǐ de qí shí de wèn tí。	Fame- it is chiefly a matter of die at the right moment.
不好客的没有表现出好客的；不友好的	bù hǎo kè de méi yǒu biǎo xiàn chū hào kè de； bù yǒu hǎo de	Displaying no hospitality; unfriendly.
忘却、遗忘忘却、遗忘的状态；遗忘	wàng què、 yí wàng wàng què、 yí wàng de zhuàng tài； yí wàng	A condition of forgetfulness; oblivion.
在拜访岳父之前，他把鞋子擦黑。	zài bài fǎng yuè fù zhī qián， tā bǎ xié zi cā hēi。	He blacked his shoes before visiting his father-in-law.
耗尽被损耗的状态；精疲力竭，耗尽	hào jìn bèi sǔn hào de zhuàng tài； jīng pí lì jié， hào jìn	The state of being depleted; exhaustion.
这件衣服由于洗涤而慢慢褪色了。	zhè jiàn yī fu yóu yú xǐ dí ér màn màn tùn sè le。	The color of the dress faded away gradually on washing.
侦探们又开始在那楝房子警戒了。	zhēn tàn men yòu kāi shǐ zài nà liàn fáng zi jǐng jiè le。	The detectives resumed their vigil at the house.
玛丽·杜瓦尔夫人转交彼得·布朗先生.	Mǎ lì· dù wǎ ěr fū ren zhuǎn jiāo Bǐ dé· bù lǎng xiān sheng.	Mr Peter Brown c/o Mme Marie Duval....
为什麽允许这些人随意进入该地?	wèi shí mó yǔn xǔ zhè xie rén suí yì jìn rù gāi de?	Why give these people licence to enter the place at will?
她生性乐观有助於她渡过难关。	tā shēng xìng lè guān yǒu zhù yū tā dù guò nán guān。	Her natural resilience helped her overcome the crisis.
你（如果）不付款，他们就要断电。	nǐ（ rú guǒ） bù fù kuǎn， tā men jiù yào duàn diàn。	Fail to pay and they'll cut off the electricity.
投诉信件源源不断地寄到（总部）.	tóu sù xìn jiàn yuán yuán bù duàn de jì dào（ zǒng bù）.	Letters of complaint poured in (to head office).
清晰地表达或呈现的；容易理解的	qīng xī de biǎo dá huò chéng xiàn de； róng yì lǐ jiě de	Clearly expressed or presented; easy to understand.
金属门猛一关上时发出　光的响声.	jīn shǔ mén měng yī guān shàng shí fā chū　 guāng de xiǎng shēng.	The metal door rang as it slammed shut.
到现在已提名多少人了?	dào xiàn zài yǐ tí míng duō shao rén le?	How many nominations have there been (ie How many people have been nominated) so far?
健谈的倾向于易于沟通的；爱说话的	jiàn tán de qīng xiàng yú yì yú gōu tōng de； ài shuō huà de	Inclined to communicate readily; talkative.
久病後他的生命力逐渐在枯竭。	jiǔ bìng後 tā de shēng mìng lì zhú jiàn zài kū jié。	His life is slowly draining away after a long illness.
他那彬彬有礼的举止显出他是个绅士.	tā nà bīn bīn yǒu lǐ de jǔ zhǐ xiǎn chū tā shì gè shēn shì.	His polite manners bespoke the gentleman.
飞机猛然俯冲致使驾驶员昏厥.	fēi jī měng rán fǔ chòng zhì shǐ jià shǐ yuán hūn jué.	The plane dived suddenly, causing the pilot to black out.
荒原荒凉、贫瘠或遭到毁坏之土地	huāng yuán huāng liáng、 pín jí huò zāo dào huǐ huài zhī tǔ dì	Land that is desolate, barren, or ravaged.
莎士比亚的作品赋予他不朽的声名。	suō shì Bǐ yà de zuò pǐn fù yǔ tā bù xiǔ de shēng míng。	Shakespeare's works have given him immortality.
分期付的款可於每月最後一日交付.	fēn qī fù de kuǎn kě yū měi yuè zuì後 yī rì jiāo fù.	Instalments are payable on the last day of the month.
这个剧本通常认为是莎士比亚作的.	zhè gè jù běn tōng cháng rèn wéi shì suō shì Bǐ yà zuò de.	This play is usually attributed to Shakespeare.
【谚】知识是宝库，实践是钥匙。	【 yàn】 zhī shi shì bǎo kù， shí jiàn shì yào shi。	Knowledge is a treasure, but practice is the key to it.
被降级的降级的、丢脸的或降低尊严的	bèi jiàng jí de jiàng jí de、 diū liǎn de huò jiàng dī zūn yán de	Reduced in rank, dignity, or esteem.
血洗野蛮的、不加区别的杀戳；大屠杀	xuè xǐ yě mán de、 bù jiā qū bié de shā chuō； dà tú shā	Savage, indiscriminate killing; a massacre.
这个年轻军官被提升为上尉。	zhè gè nián qīng jūn guān bèi tí shēng wèi shàng wèi。	The young army officer was promoted to the rank of captain.
我提议为新娘新郎的幸福乾杯.	wǒ tí yì wèi xīn niáng xīn láng de xìng fú qián bēi.	I should like to propose a toast to the bride and bridegroom.
你们公司的海关注册号码是多少？	nǐ men gōng sī de hǎi guān zhù cè hào mǎ shì duō shao？	What's your company's registration number in customs?
这些可怜的佃户在那个庄园里耕种。	zhè xie kě lián de diàn hù zài nèi gè zhuāng yuán lǐ gēng zhòng。	The poor tenants farmed in that manor.
飞机猛然俯冲致使驾驶员昏厥。	fēi jī měng rán fǔ chòng zhì shǐ jià shǐ yuán hūn jué。	The plane dive suddenly, cause the pilot to black out.
我们求生的唯一希望就在於裁军吗?	wǒ men qiú shēng de wéi yī xī wàng jiù zài yū cái jūn ma?	Does our only hope of survival lie in disarmament?
阴谋，密谋秘密的或不光彩的计划；密谋	yīn móu， mì móu mì mì de huò bù guāng cǎi de jì huà； mì móu	A secret or underhand scheme; a plot.
莎士比亚的作品赋予他不朽的声名。	suō shì Bǐ yà de zuò pǐn fù yǔ tā bù xiǔ de shēng míng。	Shakespeare's works have given him immortality.
他由於死要面子而不肯接受帮助.	tā yóu yū sǐ yào miàn zi ér bù kěn jiē shòu bāng zhù.	He refused to accept help out of a false sense of pride.
他不惜工本为自己造了一幢别墅。	tā bù xī gōng běn wèi zì jǐ zào le yī chuáng bié shù。	He spares no expense in building a villa for himself.
孩子们常常（为玩具）争吵.	hái zi men cháng cháng（ wèi wán jù） zhēng chǎo.	The children are always bickering (with each other) (over their toys).
这次销售交涉不知道结果会怎样？	zhè cì xiāo shòu jiāo shè bù zhī dào jié guǒ kuài zěn yàng？	How is the sale negotiation going to turn out?
他在向小学生贩卖海洛因时被捕.	tā zài xiàng xiǎo xué shēng fàn mài hǎi luò yīn shí bèi bǔ.	He was caught pushing heroin to schoolchildren.
我宁愿约翰打网球而不玩扑克牌。	wǒ nìng yuàn Yuē hàn dǎ wǎng qiú ér bù wàn pū kè pái。	I prefer John's playing tennis to his playing cards.
他们失去了首领以後便丧失了斗志.	tā men shī qù le shǒu lǐng yǐ後 pián sàng shī le dòu zhì.	Losing their leader took all the fight out of them.
机车喷出一股蒸气後就停了下来.	jī chē pèn chū yī gǔ zhēng qì後 jiù tíng le xia lai.	There was a puff of steam from the engine before it stopped.
她总是抱怨伦敦缺少体育设施.	tā zǒng shì bào yuàn lún dūn quē shǎo tǐ yù shè shī.	She's always lamenting the lack of sports facilities in town.
他们是这样宣称的，但他们有证据吗？	tā men shì zhè yàng xuān chēng de， dàn tā men yǒu zhèng jù ma？	So they alleged, but have they any proof?
我们不能冒（失掉全部钱的）风险.	wǒ men bù néng mào（ shī diào quán bù qián de） fēng xiǎn.	We can't run the risk (of losing all that money).
她出身上层社会[她社会地位极高].	tā chū shēn shàng céng shè huì[ tā shè huì dì wèi jí gāo].	She's out of the top drawer/She's very top drawer.
屡次侵占我的闲暇时间, 我很反感.	lu:3 cì qīn zhàn wǒ de xián xiá shí jiān,  wǒ hěn fǎn gǎn.	I resent these incursions into/upon my leisure time.
对市场动态，烦告货主意向如何？	duì shì chǎng dòng tài， fán gào huò zhǔ yi xiàng rú hé？	Advise how shipper dispose towards market movement?
她带病努力工作, 真是难能可贵!	tā dài bìng nǔ lì gōng zuò,  zhēn shì nàn néng kě guì!	She works so hard in spite of her illness: she's a marvel!
【谚】智者热爱真理，愚者回避真理。	【 yàn】 zhì zhě rè ài zhēn lǐ， yú zhě huí bì zhēn lǐ。	Wise men love truth, whereas fools shun it.
自由的没有限制或局限的；不受约束的	zì yóu de méi yǒu xiàn zhì huò jú xiàn de； bù shòu yuē shù de	Not limited or restricted; unrestrained.
唱流行歌曲的歌星什麽时候都是新闻人物.	chàng liú xíng gē qǔ de gē xīng shí mó shí hou dōu shì xīn wén rén wù.	Pop stars are always news.
蜡烛发出轻轻的毕剥声後就熄灭了.	là zhú fā chū qīng qīng de bì bō shēng後 jiù xī miè le.	The candle gave a few faint splutters and then went out.
狗吠声有特色地低沉的、粗哑的狗叫	gǒu fèi shēng yǒu tè sè de dī chén de、 cū yǎ de gǒu jiào	The characteristically deep, gruff bark of a dog.
我们得等电源接通後才能搬进去.	wǒ men de děng diàn yuán jiē tōng後 cái néng bān jìn qù.	We can't move in until the electricity has been laid on.
农夫用镰刀在地里刈出一条路来。	nóng fū yòng lián dāo zài de lǐ yì chū yī tiáo lù lái。	The farmer cut a swathe in the field with his scythe.
他受妻子怂恿进行这些非法活动.	tā shòu qī zi sǒng yǒng jìn xíng zhè xie fēi fǎ huó dòng.	He was abetted in these illegal activities by his wife.
难民苦於缺少食物和医药用品.	nàn mín kǔ yū quē shǎo shí wù huò yī yào yòng pǐn.	The refugees are suffering for want of food and medical supplies.
我还在学习, 别指望我十全十美!	wǒ huán zài xué xí,  biè zhǐ wàng wǒ shí quán shí měi!	I'm still only a learner, so don't expect perfection!
四条林荫大道从那广场向四方延伸。	sì tiáo lín yìn dà dào zòng nà guǎng chǎng xiàng sì fāng yán shēn。	Four avenues radiate from the square.
不要逾期不缴房租, 否则会被逐出.	bù yào yú qī bù jiǎo fáng zū,  fǒu zé kuài bèi zhú chū.	Don't fall behind with the rent, or you'll be evicted.
他为伦敦的一家大公司到处推销地毯.	tā wèi lún dūn de yī jiā dà gōng sī dào chù tuī xiāo dì tǎn.	He travels in carpets for a big London firm.
残忍的行为与他的本性[与他]格格不入.	cán rěn de xíng wéi yù tā de běn xìng[ yù tā] gé gé bù rù.	Cruelty was quite alien to his nature/to him.
残忍的行为与他的本性[与他]格格不入.	cán rěn de xíng wéi yù tā de běn xìng[ yù tā] gé gé bù rù.	Cruelty was quite alien to his nature/to him.
我身上没带现钱，明天付你行吗？	wǒ shēn shàng mò dài xiàn qián， míng tiān fù nǐ xìng ma？	I have no ready cash on me, can I pay you tomorrow?
怎样才能使你相信我是真心实意的呢?	zěn yàng cái néng shǐ nǐ xiāng xìn wǒ shì zhēn xīn shí yì de ne?	How can I persuade you that I am sincere?
我们怎样才能延长短促的人生？	wǒ men zěn yàng cái néng yán cháng duǎn cù de rén shēng？	How can we endeavor to prolong the brevity of human life?
