愛戴	àidài	love and respect
牙科	yákē	dentistry
亞軍	yǎjūn	runner-up
延遲	yánchí	delay, postpone
沿海	yánhǎi	along the coast, coastal, littoral
嚴禁	yánjìn	strictly prohibit
嚴厲	yánlì	stern, severe
言論	yánlùn	open discussion, speech
嚴密	yánmì	tight, close
延伸	yánshēn	extend, stretch
岩石	yánshí	rock
沿途	yántú	on the way, throughout a journey
延誤	yánwù	incur loss through delay
沿襲	yánxí	carry on as before
延續	yánxù	continue, go on, last
沿用	yányòng	continue to use old methods/ etc.
癌症	yánzhèng	cancer
演變	yǎnbiàn	transmute
眼界	yǎnjiè	field of vision/ view, outlook
眼看	yǎnkàn	see sth. happen, watch helplessly
衍生	yǎnshēng	derive, form
演說	yǎnshuō	speech, address
演習	yǎnxí	maneuver, exercise, drill, practice
燕窩	yànwō	edible bird's nest, nest of cliff swallow
燕子	yànzi	swallow
央求	yāngqiú	beg, plead, implore
養分	yǎngfèn	nutrient
養老	yǎnglǎo	live out one's life in retirement, live out life in retirement, provide for the aged
仰慕	yǎngmù	admire, look up to
搖晃	yáohuàng	rock, sway, shake
謠言	yáoyán	rumors
遙遠	yáoyuǎn	distant, remote
要點	yàodiǎn	main points, essentials, gist, key strongpoint
要犯	yàofàn	important criminal
要好	yàohǎo	being close friends
藥品	yàopǐn	medicines and chemical reagents
業績	yèjī	achievement
夜景	yèjǐng	night scene/ view
依舊	yījiù	as before, still
依據	yījù	according to, on the basis of, judging by
依賴	yīlài	rely/ depend on
醫療	yīliáo	treat, cure
醫術	yīshù	medical skill; the art of healing 
醫藥	yīyào	medicine
依照	yīzhào	according to, in light of
儀表	yíbiǎo	appearance, bearing, meter
遺產	yíchǎn	estate, birthright, patrimony, legacy, heritage, inheritance, bequest
遺傳	yíchuán	bequeath, pass on to next generation
一旦	yídàn	once, some time or other
一道	yídào	together
一度	yídù	once, at one time, for a time, on one occasion
一概	yígài	one and all, without exception
一貫	yíguàn	consistently, from first to last, all along
遺憾	yíhàn	regret, pity
遺留	yíliú	leave behind, hand down
一律	yílǜ	without exception, uniformly, equally
疑慮	yílǜ	misgivings, doubts
遺棄	yíqì	abandon, forsake
遺體	yítǐ	remains of dead
遺忘	yíwàng	forget
一味	yíwèi	habitually, invariably, blindly, stubbornly
移植	yízhí	transplant, graft
遺址	yízhǐ	ruins, relics
遺志	yízhì	deathbed behest
異常	yìcháng	unusual, extraordinary, abnormal
議定	yìdìng	decide after negotiations
毅力	yìlì	willpower, will, stamina
一流	yìliú	first-class
議論	yìlùn	debate, discuss
翌日	yìrì	next day
一如	yìrú	as
議題	yìtí	topic for/ under discussion
液體	yìtǐ	liquid
意圖	yìtú	intention, intent
意味	yìwèi	signify, mean, imply
異鄉	yìxiāng	alien land i.e.,not one's hometown
一心	yìxīn	wholeheartedly, of one mind
議員	yìyuán	member of legislative body
意願	yìyuàn	wish, desire, aspiration
抑制	yìzhì	restrain, control, check
因而	yīnér	consequently
因果	yīnguǒ	cause and effect, karma, preordained fate
陰謀	yīnmóu	plot, scheme
陰影	yīnyǐng	shadow
銀幕	yínmù	motion-picture screen
銀色	yínsè	grade of silver in coins, silver color
銀子	yínzi	money;silver
引導	yǐndǎo	guide, lead
引進	yǐnjìn	recommend, introduce from elsewhere
引擎	yǐnqíng	engine
隱藏	yǐncáng	hide, conceal
隱士	yǐnshì	recluse, hermit
隱約	yǐnyuē	faint, indistinct
印證	yìnzhèng	confirm, verify
櫻桃	yīngtáo	cherry
英勇	yīngyǒng	heroic, valiant
營地	yíngdì	campsite
迎合	yínghé	pander/ cater to
營造	yíngzào	construct, build
影射	yǐngshè	allude to, insinuate
應變	yìngbiàn	meet contingency
應酬	yìngchóu	have social intercourse with, treat with courtesy
應急	yìngjí	meet an urgent need, meet an contingency, meet an emergency, meet emergency, lash-up, meet a contingency
硬體	yìngtǐ	hardware
應驗	yìngyàn	come true
應徵	yìngzhēng	enroll, enlist
優待	yōudài	give preferential/ special treatment
悠久	yōujiǔ	long in time
優勢	yōushì	superiority, preponderance
優先	yōuxiān	preferentially, preemptively
悠閒	yōuxián	leisurely and carefree
優異	yōuyì	excellent, outstanding
憂鬱	yōuyù	depressed
由來	yóulái	origin, cause
遊覽	yóulǎn	go sight-seeing, tour, visit
油膩	yóunì	oily, greasy
油田	yóutián	oil field
油條	yóutiáo	deep-fried twisted dough sticks
猶豫	yóuyù	hesitate, be irresolute
友愛	yǒuài	love fraternally
有機	yǒujī	organic
有理	yǒulǐ	reasonable, justified, in the right, rational
有為	yǒuwéi	capable
有限	yǒuxiàn	limited, finite
有形	yǒuxíng	tangible, visible
有益	yǒuyì	benefit, be helpful
有意	yǒuyì	have a mind to, be interested in
有緣	yǒuyuán	destined
誘惑	yòuhuò	tempt, seduce, lure
幼稚	yòuzhì	boyish, immature
踴躍	yǒngyuè	eager, enthusiastical
用戶	yònghù	consumer, user
用途	yòngtú	use
用心	yòngxīn	motive, intention
愚蠢	yúchǔn	silly, fatuous
輿論	yúlùn	public opinion
漁民	yúmín	fisherfolk
與會	yǔhuì	participate in conference
雨季	yǔjì	rainy season
語文	yǔwén	spoken and written language, language and literature
予以	yǔyǐ	give, grant
宇宙	yǔzhòu	universe, cosmos
預測	yùcè	calculate, forecast
預訂	yùdìng	subscribe, book, place an order
預防	yùfáng	prevent, guard against
預告	yùgào	announce in advance, herald
預估	yùgū	predict
玉器	yùqì	jadeware
預賽	yùsài	preliminary contest
寓言	yùyán	allegory, parable, fable
預約	yùyuē	make an appointment
孕婦	yùnfù	pregnant woman
醞釀	yùnniàng	make preparations, get ready
運行	yùnxíng	orbit, operate, travel, revolve, be in motion, gravitate, roll, run, circulate, move
園林	yuánlín	garden, park
元氣	yuánqì	energy, force, vitality
元素	yuánsù	element
元首	yuánshǒu	head of state
原形	yuánxíng	original shape
原野	yuányě	open country
原子	yuánzǐ	atom
援助	yuánzhù	help, aid, support
原狀	yuánzhuàng	previous condition
遠景	yuǎnjǐng	distant view, prospect, long shot
約束	yuēshù	control, restrain, bind
樂隊	yuèduì	orchestra, band
月台	yuètái	railway platform
災禍	zāihuò	disaster, calamity
災情	zāiqíng	disaster conditions
在場	zàichǎng	be on the scene/ spot, be present
再三	zàisān	over and over again
再生	zàishēng	be reborn, regenerate
在世	zàishì	be living
在座	zàizuò	be present
贊同	zàntóng	approve of, endorse
贊助	zànzhù	support, assist
贓物	zāngwù	booty, stolen goods
遭遇	zāoyù	meet with, encounter
造反	zàofǎn	rise in rebellion, revolt, rebel, rise up
造化	zàohuà	1[Formal] Nature; the Creator 2[Informal] good fortune 
造型	zàoxíng	modelling, mold-making, model, mold
責備	zébèi	blame, reproach
增進	zēngjìn	enhance, promote, further
增強	zēngqiáng	strengthen, enhance
資深	zīshēn	senior
姿勢	zīshì	posture, gesture
姿態	zītài	posture, carriage, attitude, pose
滋味	zīwèi	taste, flavor
資訊	zīxùn	information
資助	zīzhù	aid financially, subsidize
子彈	zǐdàn	bullet, cartridge
子弟	zǐdì	juniors, children
子孫	zǐsūn	children and grandchildren, descendants, posterity,
自稱	zìchēng	call oneself, profess
自費	zìfèi	be at one's own expense
自豪	zìháo	pride oneself on
自覺	zìjué	be conscious/ aware
自立	zìlì	stand on own feet
自滿	zìmǎn	self-satisfied, pretend, puff up, complacent, swell
自身	zìshēn	self, oneself
字體	zìtǐ	typeface, font, style of calligraphy
自信	zìxìn	self-confidence
自行	zìxíng	by oneself, of oneself, of one's own accord, voluntarily, proper motion
字樣	zìyàng	model of written characters, expressions used in certain contexts
自制	zìzhì	denial, continence, nerves, forbearance, self-renunciation, self-government, restraint, self-denial, temperateness, self-mastery, abnegation, sobriety, renunciation, self-abnegation, unpermissiveness, self-control, self-restraint, self-discipline, self-command, temperance
自治	zìzhì	self-govern, autonomic
自傳	zìzhuàn	autobiography
走廊	zǒuláng	corridor, passage, passageway
宗旨	zōngzhǐ	aim, purpose
總裁	zǒngcái	head examiner, director-general, president, governor
總得	zǒngděi	must, have to, be bound to
總額	zǒngé	total
總和	zǒnghé	sum, total, sum total
總結	zǒngjié	summary, summing up
總數	zǒngshù	total, sum total
縱火	zònghuǒ	arson, incendiarism
縱容	zòngróng	connive, wink at
縱使	zòngshǐ	even if/ though
租賃	zūlìn	rent, lease, hire
阻擋	zǔdǎng	stop, resist, obstruct, stem
阻力	zǔlì	obstruction, resistance
阻撓	zǔnáo	obstruct, thwart, prevent
阻塞	zǔsè	block up, obstruct, clog
祖宗	zǔzōng	ancestors, forebears
組織	zǔzhī	organize, form
組裝	zǔzhuāng	assemble and install
鑽研	zuānyán	study/ scrutinize intensively
鑽石	zuànshí	diamond
嘴唇	zuǐchún	lips
罪惡	zuìè	crime, evil
罪名	zuìmíng	charge, accusation
罪行	zuìxíng	criminal acts
遵循	zūnxún	follow, abide by, adhere to
尊嚴	zūnyán	dignity, honor
作風	zuòfēng	style of work, way
作怪	zuòguài	make trouble, stir up trouble, do mischief
坐牢	zuòláo	be in jail, imprison, be imprisoned, be in prison
座談	zuòtán	have informal discussion
作為	zuòwéi	conduct, deed, action
作物	zuòwù	crop
作戰	zuòzhàn	fight, do battle
坐鎮	zuòzhèn	to personally attend to garrison duty; to assume personal command 
作證	zuòzhèng	testify, witness, take the stand, certify, attest, give evidence, verify, bear witness, depose, evidence
炸藥	zhàyào	explosive charges, dynamite
展望	zhǎnwàng	look into the distance/ future
展現	zhǎnxiàn	unfold before one's eyes
嶄新	zhǎnxīn	brand-new, completely new
顫抖	zhàndǒu	shake, quiver, shiver
戰火	zhànhuǒ	flames of war
戰機	zhànjī	warplanes
戰略	zhànlüè	strategy
戰亂	zhànluàn	chaos of war
戰勝	zhànshèng	defeat, vanquish
戰士	zhànshì	soldier, combatant, warrior
戰術	zhànshù	military tactics
戰線	zhànxiàn	battle line, front
戰友	zhànyǒu	comrade-in-arms
張開	zhāngkāi	open, spread
張貼	zhāngtiē	put up poster/ etc.
長輩	zhǎngbèi	elder generation
長子	zhǎngzǐ	eldest son
帳篷	zhàngpéng	tent
朝氣	zhāoqì	morning freshness, youthful spirit, vigor, vitality
著想	zháoxiǎng	consider, take into consideration
著眼	zhuóyǎn	view from the angle of, have ... in mind, fix eyes upon, see from the angle of
找尋	zhǎoxún	look for, seek
沼澤	zhǎozé	marsh, swamp, bog
召集	zhàojí	call together, convene
照例	zhàolì	according to precedent/ practice
照耀	zhàoyào	shine, illuminate
遮蔽	zhēbì	hide from view, obstruct, block, defilade
折騰	zhēténg	toss and turn, do sth. over and over again, range back and forth, maneuver, cause physical/ mental suffering
針灸	zhēnjiǔ	acupuncture
真情	zhēnqíng	sincere feeling or emotion
珍惜	zhēnxí	treasure, cherish
珍珠	zhēnzhū	pearl
診斷	zhěnduàn	diagnose
診所	zhěnsuǒ	clinic
鎮定	zhèndìng	calm, pacify, temper, mollify, tranquillize, assuage, quash, composed, quell, soothe
振動	zhèndòng	vibrate
震驚	zhènjīng	shock, amaze, astonish
鎮壓	zhènyā	suppress, repress, put down, execute counterrevolutionary
陣營	zhènyíng	camp
爭辯	zhēngbiàn	argue, contend
爭奪	zhēngduó	vie with sb. for sth.
蒸發	zhēngfā	evaporate
爭論	zhēnglùn	controversy, dispute
爭氣	zhēngqì	fight to excel, try to win credit for, try to bring credit to
蒸氣	zhēngqì	steam
徵收	zhēngshōu	levy, collect
爭議	zhēngyì	disputation, controversy
掙扎	zhēngzhá	struggle
整頓	zhěngdùn	rectify, reorganize
整體	zhěngtǐ	the whole, entirety
整整	zhěngzhěng	whole, full
正當	zhèngdāng	proper
正規	zhèngguī	regular, standard
政績	zhèngjī	achievements in one's official career
政見	zhèngjiàn	political view
正面	zhèngmiàn	positively
政權	zhèngquán	political/ state power, regime
證券	zhèngquàn	negotiable securities
證人	zhèngrén	witness
正統	zhèngtǒng	orthodox ideas/ tradition
正義	zhèngyì	justice
支撐	zhīchēng	prop up, keep up
脂肪	zhīfáng	fat
支付	zhīfù	pay money, defray
之後	zhīhòu	later, behind, after
之類	zhīlèi	such like
之內	zhīnèi	in, within, among, inside of
支配	zhīpèi	control, dominate, govern
之前	zhīqián	before, prior to
支應	zhīyìng	cope/ deal with, equivocate, wait on, attend to, act as cashier
知足	zhīzú	be content with one's lot, contented
值班	zhíbān	be on duty
直徑	zhíjìng	diameter
質量	zhíliàng	quality, mass
殖民	zhímín	colonize
值錢	zhíqián	valuable
質疑	zhíyí	call in question, challenge
職務	zhíwù	job, duties, post
職責	zhízé	duty, obligation, responsibility
執照	zhízhào	license, permit
執政	zhízhèng	hold power, govern
執著	zhízhuó	rigid, punctilious
指標	zhǐbiāo	target, quota, norm, index
只得	zhǐděi	have to
指點	zhǐdiǎn	give directions/ pointers/ etc.,direct, guide
指揮	zhǐhuī	commander, director, conductor
指揮	zhǐhuī	conduct, direct, command
指控	zhǐkòng	accuse, charge
指數	zhǐshù	index number, indicator, exponent
指頭	zhǐtóu	finger
指望	zhǐwàng	look to, count on
指紋	zhǐwén	loops and whorls on fingers, fingerprint
指引	zhǐyǐn	point way, guide, show
指責	zhǐzé	censure, criticize
指正	zhǐzhèng	note mistakes for correction, make comment/ criticism
治安	zhìān	public order/ security
治本	zhìběn	get at root, take radical measures, effect a permanent cure, get at the root
治標	zhìbiāo	palliate, merely alleviate symptom of illness, take stopgap measures, bring about a temporary solution, palliative, merely alleviate the symptoms of an illness
制裁	zhìcái	sanction, punish
致詞	zhìcí	make a speech
制訂	zhìdìng	work/ map out, formulate
致富	zhìfù	thrive, flourish, become rich, prosper, make a fortune
至今	zhìjīn	up to now, so far
治理	zhìlǐ	administer, govern, bring under control, put in order
致力	zhìlì	devote oneself to
智力	zhìlì	intelligence, intellect
治療	zhìliáo	treat, cure
滯留	zhìliú	be detained
致命	zhìmìng	fatal, mortal, deadly
製品	zhìpǐn	products, manufactured goods
志趣	zhìqù	aspiration and interest, inclination, bent
志向	zhìxiàng	aspiration, ideal, ambition
致意	zhìyì	devote attention to, send best regards, send one's greetings
終場	zhōngchǎng	end of performance, final session in an examination
中斷	zhōngduàn	suspend, break off
中和	zhōnghé	neutralize
終結	zhōngjié	end, final stage
終究	zhōngjiù	eventually, in the end, after all
中肯	zhòngkěn	1appropriate; to the point 2to hit the mark; to strike home 3.cogency
中立	zhōnglì	neutral
終身	zhōngshēn	lifelong, all one's life
忠實	zhōngshí	true, faithful
衷心	zhōngxīn	heartily, wholeheartedly, cordially
中旬	zhōngxún	middle 10 days of month
中葉	zhōngyè	middle period
中醫	zhōngyī	doctor of trad. Ch. medicine
中庸	zhōngyōng	moderate, not extreme, not too much of anything
中風	zhòngfēng	have a stroke
中獎	zhòngjiǎng	win prize, draw a prizewinning ticket, draw prizewinning ticket, prize, draw prizewinning number
中暑	zhòngshǔ	heatstroke, suffer heatstroke, sunstroke, have sunstroke, suffer sunstroke, be affected by the sunstroke
重用	zhòngyòng	put sb. in important position
重鎮	zhòngzhèn	strategic place
種植	zhòngzhí	plant, grow
周邊	zhōubiān	periphery
周密	zhōumì	complete, thorough
周詳	zhōuxiáng	complete, thorough
周遊	zhōuyóu	journey/ travel round
周轉	zhōuzhuǎn	1[Economics] turnover 2of funds circulating; revolving 3.to have enough to meet the need
皺紋	zhòuwén	wrinkles, lines
諸多	zhūduō	a good deal, a lot of
逐步	zhúbù	step by step, progressively
主導	zhǔdǎo	leading, dominant, guiding
囑咐	zhǔfù	give instructions;ask s.o. to do
主管	zhǔguǎn	be in charge of, be responsible for
主見	zhǔjiàn	one's own judgment/ view
主角	zhǔjiǎo	leading role, lead, protagonist
主力	zhǔlì	main force
主流	zhǔliú	essential/ main aspect/ trend
矚目	zhǔmù	fix eyes on
主權	zhǔquán	sovereign rights, sovereignty
主義	zhǔyì	doctrine,-ism
主宰	zhǔzǎi	dominate, dictate, decide
主旨	zhǔzhǐ	purport, substance, gist
主軸	zhǔzhóu	main shaft, spindle
注定	zhùdìng	be doomed/ destined
住戶	zhùhù	household, resident
助教	zhùjiào	teaching assistant
佇立	zhùlì	stand still for long while
注目	zhùmù	fix eyes on
住宿	zhùsù	stay, put up, get accommodations
注視	zhùshì	watch attentively, gaze at
助手	zhùshǒu	assistant, aide
柱子	zhùzi	post, pillar
著作	zhùzuò	work, book, writings
注重	zhùzhòng	lay stress on, pay attention to
准許	zhǔnxǔ	permit, allow
準則	zhǔnzé	norm, standard, criterion
抓緊	zhuājǐn	seize
專櫃	zhuānguì	shoppe
專員	zhuānyuán	assistant director, administrative commissioner, person specially assigned for a job
專制	zhuānzhì	despotic
轉動	zhuǎndòng	turn round, move
轉化	zhuǎnhuà	change, transform
轉機	zhuǎnjī	turn for better
轉手	zhuǎnshǒu	transfer, pass on to another
轉向	zhuǎnxiàng	change direction
轉眼	zhuǎnyǎn	in the blink of an eye
轉移	zhuǎnyí	shift, transfer, divert, change, transform
轉帳	zhuǎnzhàng	transfer accounts
賺錢	zhuànqián	make money/ profit
撰寫	zhuànxiě	write
裝備	zhuāngbèi	equipment, outfit
裝潢	zhuānghuáng	mount picture/ etc.,decorate, paste, glue
裝配	zhuāngpèi	assemble, fit together
莊嚴	zhuāngyán	solemn, dignified, stately
裝運	zhuāngyùn	transport
裝置	zhuāngzhì	install, fit
壯觀	zhuàngguān	magnificent
壯麗	zhuànglì	majestic, magnificent
狀元	zhuàngyuán	Number One Scholar title conferred on top scorer in highest, the very best in any field
追捕	zhuībǔ	pursue and capture
追查	zhuīchá	investigate, trace, find out
追究	zhuījiù	look into, find out, investigate
酌量	zhuóliàng	consider, deliberate
著手	zhuóshǒu	set to, get to work
著重	zhuózhòng	emphasize, attach importance
卓越	zhuóyuè	outstanding, brilliant
愛滋病	àizībìng	AIDS
白皮書	báipíshū	white paper/ book
半成品	bànchéngpǐn	semi-finished products
半導體	bàndǎotǐ	IC;semiconductor
保齡球	bǎolíngqiú	bowling balls
不動產	búdòngchǎn	real estate
出發點	chūfādiǎn	starting point
單行道	dānxíngdào	one-way street
膽固醇	dǎngùchún	cholesterol, cholesterin
到頭來	dàotóulái	after all, in the long run, in the end
電視劇	diànshìjù	TV play
度量衡	dùliánghéng	weights and measures
多媒體	duōméitǐ	multi-media
方向盤	fāngxiàngpán	steering wheel
付_1	fù	[proximation] measure word for two things seen together or associated/  measure word for facial expresssion
公務員	gōngwùyuán	functionary, government employee
工藝品	gōngyìpǐn	handicraft article, handiwork
共和國	gònghéguó	republic
怪不得	guàibùdé	so that's why
航空信	hángkōngxìn	air mail
黑名單	hēimíngdān	blacklist
黑社會	hēishèhuì	criminal underworld
候選人	hòuxuǎnrén	candidate for election
划不來	huábùlái	not worthwhile, not to one's advantage
劃時代	huàshídài	epoch-making, epochal
機器人	jīqìrén	robot
簡體字	jiǎntǐzì	simplified characters
健身房	jiànshēnfáng	gymnasium, gym
開頭兒	kāitóuer	opening move, beginning, start, front, initiative, first step, opening
口_3	kǒu	1[general]individual measure word for things with an opening.2[proximation]individual measure word for swords, knives...etc.
老人家	lǎorénjiā	old person, parents
老天爺	lǎotiānyé	God, Heavens
兩口子	liǎngkǒuzi	couple
馬鈴薯	mǎlíngshǔ	potato
美容院	měiróngyuàn	beauty parlor/ shop
農作物	nóngzuòwù	crops
拍馬屁	pāimǎpì	flattery
派出所	pàichūsuǒ	police substation
匹_2	pǐ	[general]measure word used to count cloth
片_1	piàn	m.[proximation]measure word 1for sound, voices…etc.2for scenery.3 to indicate a kindly feeling
乒乓球	pīnpāngqiú	ping-pong, ping-pong ball
瞧不起	qiáobùqǐ	look down upon, despise
熱水瓶	rèshuǐpíng	hot water bottle, thermos flask
日光燈	rìguāngdēng	fluorescent lamp
所以然	suǒyǐrán	whys and wherefores
售貨員	shòuhuòyuán	shop assistant, salesclerk
雙胞胎	shuāngbāotāi	twins
水蒸氣	shuǐzhēngqì	steam
太極拳	tàijíquán	a kind of shadowboxing
天然氣	tiānránqì	natural gas
同性戀	tóngxìngliàn	homosexuality, homosexual
外祖父	wàizǔfù	maternal grandfather
外祖母	wàizǔmǔ	maternal grandmother
維生素	wéishēngsù	vitamin
未婚夫	wèihūnfū	fiance
未婚妻	wèihūnqī	fiancee
烏龍茶	wūlóngchá	oolong tea
無線電	wúxiàndiàn	radio
下水道	xiàshuǐdào	sewer
笑嘻嘻	xiàoxīxī	grinning, smiling broadly, grin
壓歲錢	yāsuìqián	money given to children as a lunar New Year gift, New Year money gift to children
一連串	yìliánchuàn	in a row; in succession
意識到	yìshìdào	appreciate, be conscious of
有心人	yǒuxīnrén	person with set purpose, thinking/ feeling people
原子彈	yuánzǐdàn	atom/ atomic bomb
造物主	zàowùzhǔ	God, the Creator
紫外線	zǐwàixiàn	ultraviolet ray
字眼兒	zìyǎner	diction, choice of words
總經理	zǒngjīnglǐ	president, general manager
座右銘	zuòyòumíng	motto, maxim
指南針	zhǐnánzhēn	compass
主人翁	zhǔrénwēng	master, leading character in novel/ etc., protagonist
哺乳動物	bǔrǔdòngwù	mammal
策畫/劃	cèhuà	plan, plot, engineer
誠心誠意	chéngxīnchéngyì	sincere
獨占/佔	dúzhàn	to have something all to oneself; to monopolize 
轟轟烈烈	hōnghōnglièliè	astounding
迴/回響	huíxiǎng	echo
家家戶戶	jiājiāhùhù	each and every family, every household
絕大多數	juédàduōshù	most of, majority
刻畫/劃	kēhuà	depict, portray
偶而/爾	ǒuérěr	occasionally
散布/佈	sànbù	disseminate, scatter, diffuse
似的/地	sìde/di	it looks like
通貨膨脹	tōnghuòpéngzhàng	inflation
吞吞吐吐	tūntūntǔtǔ	hum and haw
鮮豔/艶	xiānyàn	bright
形形色色	xíngxíngsèsè	all kinds of things
讚嘆/歎	zàntàn	admire
占/佔據	zhànjù	occupy, hold
占/佔領	zhànlǐng	capture, occupy
戰戰兢兢	zhànzhànjīngjīng	with caution, with fear and trepidation
不至/致於	búzhìyú	unlikely;not to the extent of
老頭兒/子	lǎotóuér/zi	old fogy/ codger, my old man
小伙/夥子	xiǎohuǒzi	lad, young fellow, youngster
以至/致於	yǐzhìyú	down/ up to, to such an extent as to..., so...that...
